"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/06/2021","AQS","380150003","1","6.1","ppb","6","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/07/2021","AQS","380150003","1","8.2","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/08/2021","AQS","380150003","1","5.3","ppb","5","BISMARCK RESIDENTIAL","21","88.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/09/2021","AQS","380150003","1","16.5","ppb","15","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/10/2021","AQS","380150003","1","10.4","ppb","9","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/11/2021","AQS","380150003","1","7.6","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/12/2021","AQS","380150003","1","6.8","ppb","6","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/13/2021","AQS","380150003","1","7.8","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/14/2021","AQS","380150003","1","7.8","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/15/2021","AQS","380150003","1","7","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/16/2021","AQS","380150003","1","4.4","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/17/2021","AQS","380150003","1","13.1","ppb","12","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/18/2021","AQS","380150003","1","10.8","ppb","9","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/19/2021","AQS","380150003","1","11.1","ppb","10","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/20/2021","AQS","380150003","1","2.9","ppb","2","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/21/2021","AQS","380150003","1","7.8","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/22/2021","AQS","380150003","1","5.6","ppb","5","BISMARCK RESIDENTIAL","21","88.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/23/2021","AQS","380150003","1","5","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/24/2021","AQS","380150003","1","8.9","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/25/2021","AQS","380150003","1","7.1","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/26/2021","AQS","380150003","1","5.2","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/27/2021","AQS","380150003","1","9.1","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/28/2021","AQS","380150003","1","6.4","ppb","6","BISMARCK RESIDENTIAL","18","75.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/29/2021","AQS","380150003","1","13.3","ppb","12","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"06/30/2021","AQS","380150003","1","9.7","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/01/2021","AQS","380150003","1","7.9","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/02/2021","AQS","380150003","1","4.2","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/03/2021","AQS","380150003","1","5.1","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/04/2021","AQS","380150003","1","5.9","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/05/2021","AQS","380150003","1","3.7","ppb","3","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/06/2021","AQS","380150003","1","3.4","ppb","3","BISMARCK RESIDENTIAL","21","88.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/07/2021","AQS","380150003","1","4.4","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/08/2021","AQS","380150003","1","4.7","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/09/2021","AQS","380150003","1","5.6","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/10/2021","AQS","380150003","1","10.5","ppb","9","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/11/2021","AQS","380150003","1","11","ppb","10","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/12/2021","AQS","380150003","1","5.6","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/13/2021","AQS","380150003","1","10.9","ppb","9","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/14/2021","AQS","380150003","1","16.7","ppb","15","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/15/2021","AQS","380150003","1","7.9","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/16/2021","AQS","380150003","1","3","ppb","3","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/17/2021","AQS","380150003","1","2.4","ppb","2","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/18/2021","AQS","380150003","1","2.9","ppb","2","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/19/2021","AQS","380150003","1","4.1","ppb","4","BISMARCK RESIDENTIAL","21","88.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"07/20/2021","AQS","380150003","1","4.3","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
